Class_Location,Class_Length,CheckStyle_Amount,PMD_Amount,SCAX_Amount,SpotBugs_Amount,Total_Amount
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-nodemanager\src\test\java\org\apache\hadoop\yarn\server\nodemanager\util\TestProcessIdFileReader.java,79,26,9,1,0,36
 hadoop-trunk\hadoop-trunk\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-server\hadoop-yarn-server-resourcemanager\src\test\java\org\apache\hadoop\yarn\server\resourcemanager\scheduler\fair\allocationfile\AllocationFileQueuePlacementRule.java,79,30,0,2,0,32
 hadoop-trunk\hadoop-trunk\hadoop-common-project\hadoop-kms\src\main\java\org\apache\hadoop\crypto\key\kms\server\KMSExceptionsProvider.java,79,14,1,1,0,16
 hadoop-trunk\hadoop-trunk\hadoop-common-project\hadoop-nfs\src\test\java\org\apache\hadoop\portmap\TestPortmap.java,79,14,3,1,0,18
 hadoop-trunk\hadoop-trunk\hadoop-hdfs-project\hadoop-hdfs-client\src\test\java\org\apache\hadoop\hdfs\protocol\TestErasureCodingPolicy.java,79,14,4,1,4,23
 kafka-trunk\kafka-trunk\connect\api\src\test\java\org\apache\kafka\connect\header\ConnectHeaderTest.java,79,0,0,1,1,2
 kafka-trunk\kafka-trunk\jmh-benchmarks\src\main\java\org\apache\kafka\jmh\common\ImplicitLinkedHashCollectionBenchmark.java,79,0,2,4,1,7
 kafka-trunk\kafka-trunk\metadata\src\test\java\org\apache\kafka\image\ClientQuotasImageTest.java,79,0,3,13,0,16
 kafka-trunk\kafka-trunk\streams\examples\src\test\java\org\apache\kafka\streams\examples\wordcount\WordCountDemoTest.java,79,0,0,11,5,16
 kafka-trunk\kafka-trunk\server-common\src\main\java\org\apache\kafka\server\common\serialization\AbstractApiMessageSerde.java,79,0,0,17,0,17
 kafka-trunk\kafka-trunk\clients\src\main\java\org\apache\kafka\common\requests\VoteRequest.java,79,0,0,5,2,7
 kafka-trunk\kafka-trunk\streams\src\test\java\org\apache\kafka\streams\state\internals\ReadOnlyKeyValueStoreFacadeTest.java,79,0,0,19,0,19
